"Notes","Month","Month Code",Deaths,Population,Crude Rate
,"Jul., 2024 (provisional)","2024/07",428,Not Applicable,Not Applicable
,"Aug., 2024 (provisional)","2024/08",452,Not Applicable,Not Applicable
,"Sep., 2024 (provisional)","2024/09",441,Not Applicable,Not Applicable
,"Oct., 2024 (provisional)","2024/10",436,Not Applicable,Not Applicable
,"Nov., 2024 (provisional)","2024/11",395,Not Applicable,Not Applicable
,"Dec., 2024 (provisional)","2024/12",398,Not Applicable,Not Applicable
,"Jan., 2025 (provisional and partial)","2025/01",465,Not Applicable,Not Applicable
,"Feb., 2025 (provisional and partial)","2025/02",409,Not Applicable,Not Applicable
,"Mar., 2025 (provisional and partial)","2025/03",421,Not Applicable,Not Applicable
,"Apr., 2025 (provisional and partial)","2025/04",389,Not Applicable,Not Applicable
,"May, 2025 (provisional and partial)","2025/05",434,Not Applicable,Not Applicable
,"Jun., 2025 (provisional and partial)","2025/06",399,Not Applicable,Not Applicable
,"Jul., 2025 (provisional and partial)","2025/07",423,Not Applicable,Not Applicable
,"Aug., 2025 (provisional and partial)","2025/08",375,Not Applicable,Not Applicable
,"Sep., 2025 (provisional and partial)","2025/09",405,Not Applicable,Not Applicable
,"Oct., 2025 (provisional and partial)","2025/10",417,Not Applicable,Not Applicable
,"Nov., 2025 (provisional and partial)","2025/11",413,Not Applicable,Not Applicable
,"Dec., 2025 (provisional and partial)","2025/12",332,Not Applicable,Not Applicable
,"Jan., 2026 (provisional and partial)","2026/01",87,Not Applicable,Not Applicable
"Total",,,43490,Not Applicable,Not Applicable
"---"
"Dataset: Provisional Mortality Statistics, 2018 through Last Week"
"Query Parameters:"
"Residence States: Texas (48)"
"Sex: Female"
"Ten-Year Age Groups: 15-24 years; 25-34 years; 35-44 years"
"Group By: Month"
"Show Totals: True"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/mcd-provisional.html for more information."
"---"
"Query Date: Jan 27, 2026 9:21:51 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Provisional Mortality on CDC WONDER Online Database. Data are from the final Multiple Cause of Death Files, 2018-2023,"
"and from provisional data for years 2024 and later, as compiled from data provided by the 57 vital statistics jurisdictions"
"through the Vital Statistics Cooperative Program. Accessed at http://wonder.cdc.gov/mcd-icd10-provisional.html on Jan 27, 2026"
"9:21:51 PM"
"---"
Caveats:
"1. Population and rates are labeled 'Not Applicable' when location of Death's Occurrence, Autopsy, Place of Death, Weekday or"
"Month are grouped by or limited, due to lack of a valid population. More information:"
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#NotApplicableRates."
"2. Deaths of persons with Age ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among age groups,"
"so are not included in age-specific counts, age-specific rates or in any age-adjusted rates. More information:"
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#Not Stated."
"3. After the creation of the final 2023 dataset, North Carolina updated the cause of death information for over 900 death"
"certificates to include a cause of death code indicating drug overdose (ICD-10 underlying cause-of-death codes: X40-X44,"
"X60-X64, X85, and Y10-Y14). Jurisdictions can continue to update death certificates after the closing of the mortality file. As"
"a result, users should consider that the actual death count for drug overdose deaths for North Carolina in 2023 is over 4,400"
"deaths, with a crude rate of approximately 41.0 per 100,000 population, and an age-adjusted rate of approximately 42.1 per"
"100,000 population. These deaths will not be updated on the final mortality datasets."
"4. Deaths occurring through January 17, 2026 as of January 25, 2026."
